molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL377333,Oc1cc(O)c(-c2n[nH]cc2N2CCC(O)CC2)cc1Br,inactive,354.20399999999995,2.2115,4.0,5.0,4.673664139071248
CHEMBL437306,OCc1n[nH]c(-c2cc(Cl)c(O)cc2O)c1N1CCNCC1,inactive,324.76800000000014,1.0432000000000001,5.0,6.0,4.600326278518962
CHEMBL207307,CS(=O)(=O)c1ccc(CN2CCN(c3c[nH]nc3-c3cc(Br)c(O)cc3O)CC2)cc1,active,507.4100000000002,2.9761000000000006,3.0,7.0,6.221848749616356
CHEMBL381772,NC(=O)CN1CCN(c2c[nH]nc2-c2cc(Cl)c(O)cc2O)CC1,inactive,351.79400000000015,0.7486000000000006,4.0,6.0,4.486782399932061
CHEMBL251974,Oc1cc(O)c(-c2n[nH]cc2N2CCN(Cc3ccccc3)CC2)cc1Cl,active,384.8670000000001,3.4635000000000016,3.0,5.0,6.221848749616356
CHEMBL208239,CS(=O)(=O)c1ccc(CN2CCN(c3cn[nH]c3-c3cc(Cl)c(O)cc3O)CC2)cc1,active,462.9590000000002,2.867000000000001,3.0,7.0,6.130768280269024
CHEMBL204784,Oc1cc(O)c(-c2[nH]ncc2N2CCOCC2)cc1Cl,inactive,295.726,1.9778999999999995,3.0,5.0,4.66354026615147
CHEMBL399530,CCc1cc(-c2[nH]nc(C)c2-c2ccc3c(c2)OCCO3)c(O)cc1O,active,352.3900000000001,3.7969200000000023,3.0,5.0,6.8297382846050425
CHEMBL377045,CCCCn1c(Sc2nc3cncc(Br)c3s2)nc2c(N)ncnc21,active,436.36400000000015,4.127000000000002,1.0,9.0,6.3979400086720375
CHEMBL212133,CCOP(=O)(CCn1c(Sc2nc3cncc(Br)c3s2)nc2c(N)ncnc21)OCC,active,544.397,4.5930000000000035,1.0,12.0,7.552841968657781
CHEMBL377958,CCCCn1c(Sc2nc3cncc(Cl)c3s2)nc2c(N)ncnc21,active,391.9130000000001,4.017900000000002,1.0,9.0,6.552841968657781
CHEMBL212850,CCOP(=O)(CCn1c(Sc2nc3cncc(Cl)c3s2)nc2c(N)ncnc21)OCC,active,499.94600000000025,4.483900000000003,1.0,12.0,7.522878745280337
CHEMBL377024,CC(=O)OCCCn1c(Sc2nc3cncc(Cl)c3s2)nc2c(N)ncnc21,active,435.9220000000002,3.171000000000001,1.0,11.0,6.769551078621726
CHEMBL213119,CCCCn1c(Sc2nc3cc(Cl)ccc3s2)nc2c(N)ncnc21,inactive,390.9250000000001,4.622900000000002,1.0,8.0,4.698970004336019
CHEMBL211979,CCCCn1c(Sc2nc3c(Cl)cccc3s2)nc2c(N)ncnc21,inactive,390.9250000000001,4.622900000000002,1.0,8.0,4.823908740944319
CHEMBL213262,CCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,390.9250000000001,4.622900000000002,1.0,8.0,6.7447274948966935
CHEMBL213801,CCCCn1c(Sc2nc3cccc(F)c3s2)nc2c(N)ncnc21,active,374.4700000000001,4.108600000000002,1.0,8.0,6.698970004336019
CHEMBL386499,CCCCn1c(Sc2nc3cccc(C)c3s2)nc2c(N)ncnc21,active,370.5070000000001,4.277920000000003,1.0,8.0,6.522878745280337
CHEMBL213584,CCCCn1c(Sc2nc3cccc(OCC)c3s2)nc2c(N)ncnc21,inactive,400.53300000000013,4.3682000000000025,1.0,9.0,4.0
CHEMBL386399,CCCCn1c(Sc2nc3cccc(OC)c3s2)nc2c(N)ncnc21,active,386.5060000000001,3.9781000000000013,1.0,9.0,6.721246399047171
CHEMBL214400,CCCCn1c(Sc2nc3ccc(Cl)c(Cl)c3s2)nc2c(N)ncnc21,inactive,425.3700000000002,5.276300000000001,1.0,8.0,4.6020599913279625
CHEMBL379345,CCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,376.8980000000001,4.232800000000002,1.0,8.0,6.6020599913279625
CHEMBL438613,CCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,362.8710000000001,3.8427000000000016,1.0,8.0,6.698970004336019
CHEMBL438068,CCCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,404.95200000000017,5.013000000000003,1.0,8.0,6.154901959985743
CHEMBL212076,CC(=O)OCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,434.93400000000014,3.7760000000000016,1.0,10.0,7.045757490560675
CHEMBL448474,CC(=O)OCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,420.9070000000002,3.3859000000000012,1.0,10.0,6.823908740944319
CHEMBL377631,CC(=O)OCCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,448.9610000000002,4.166100000000003,1.0,10.0,6.886056647693163
CHEMBL385927,N#CCCCCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21,active,415.9350000000002,4.516680000000002,1.0,9.0,6.958607314841775
CHEMBL377371,CCOP(=O)(CCn1c(Sc2nc3cccc(Cl)c3s2)nc2c(N)ncnc21)OCC,active,498.9580000000003,5.088900000000003,1.0,11.0,7.522878745280337
CHEMBL379544,Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCCO,active,392.89700000000016,3.205200000000002,2.0,9.0,6.823908740944319
CHEMBL209522,Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCO,active,378.8700000000001,2.8151000000000015,2.0,9.0,6.522878745280337
CHEMBL379641,Nc1ncnc2c1nc(Sc1nc3cccc(Cl)c3s1)n2CCCCO,active,406.9240000000002,3.595300000000002,2.0,9.0,6.823908740944319
